PO_ID,PO_Line_Item_ID,Order_Creation_DateTime,Acknowledgement_DateTime,Order_Quantity,Order_Volume,Order_Weight,Priority_Flag,Fulfiller_ID,Routing_Lane_ID,Fulfiller_Throughput,Fulfiller_Calendar,Total_Backlog_Ack,Current_Backlog,Relative_Queue_Position,Estimated_Processing_Rate,Days_in_Queue,Day_of_Week,Day_of_Month,Peak_Season,Demand_Surge,Recent_Shipments,Lead_Time_Trend,Lead_Time,Month,Season,On_Time_Performance,Product_Category,Geography,Carrier,Expected_Ship_Date,P50_Confidence,P90_Confidence,Reasoning_Context,Probability_On_Time,On_Time_Performance_Metric,EDD_Accuracy,P50_Calibration,P90_Calibration,Fill_Rate,Lead_Time_Stability,Vendor_Accuracy_Score
PO00010,L00010,2023-08-03 07:28:00,2023-08-05 15:28:00,467,2.72,4.94,Standard,F163,C1-G3,436,1,2235,2195,79,5.126146789,3,3,3,1,0,360,0.84,8,8,Fall,0.94,PC2,Region2,USPS,2023-08-13 15:28:00,8,9,Based on backlog and throughput,0.98,0.93,0.92,0.86,0.91,0.91,0.94,77
PO00011,L00011,2023-10-29 08:51:00,2023-11-01 09:51:00,215,3.77,36.02,Overnight,F157,C4-G3,342,1,4064,3935,86,11.88304094,9,6,29,1,1,198,1.18,1,10,Winter,0.91,PC8,Region2,DHL,2023-11-02 09:51:00,1,3,Based on backlog and throughput,0.98,0.92,0.95,0.87,0.94,0.99,0.91,80
PO00012,L00012,2023-01-04 05:44:00,2023-01-05 16:44:00,331,4.57,20.3,Overnight,F140,C2-G4,175,1,1665,1629,74,9.514285714,6,2,4,1,1,331,1.17,3,1,Fall,0.91,PC10,Region2,FedEx,2023-01-08 16:44:00,3,5,Based on backlog and throughput,0.81,0.85,0.87,0.85,0.82,0.95,0.85,94
PO00013,L00013,2023-08-05 10:17:00,2023-08-08 11:17:00,459,2.97,48.85,Overnight,F115,C6-G1,345,1,408,236,82,1.182608696,7,5,5,1,0,164,0.82,12,8,Fall,0.92,PC5,Region4,FedEx,2023-08-20 11:17:00,12,13,Based on backlog and throughput,0.71,0.88,0.93,0.77,0.84,0.94,0.94,74
PO00014,L00014,2023-03-21 06:48:00,2023-03-24 18:48:00,88,3.66,41.25,2-day,F163,C9-G2,121,1,442,267,22,3.652892562,1,1,21,1,1,241,0.94,11,3,Spring,0.9,PC6,Region2,DHL,2023-04-04 18:48:00,11,12,Based on backlog and throughput,0.91,0.93,0.87,0.86,0.94,1,0.92,90
PO00015,L00015,2023-06-22 03:05:00,2023-06-22 10:05:00,373,3.81,26.36,Standard,F195,C8-G3,345,1,535,512,46,1.550724638,8,3,22,1,0,387,1.13,7,6,Winter,0.94,PC5,Region4,DHL,2023-06-29 10:05:00,7,9,Based on backlog and throughput,0.94,0.97,0.99,0.81,0.94,0.94,0.92,95
PO00016,L00016,2023-07-14 03:22:00,2023-07-15 11:22:00,100,1.95,6.6,Overnight,F183,C6-G2,285,1,276,178,91,0.9684210526,6,4,14,0,1,129,1.04,14,7,Winter,0.85,PC10,Region2,UPS,2023-07-29 11:22:00,14,16,Based on backlog and throughput,0.74,0.86,0.97,0.76,0.87,0.97,0.85,85
PO00017,L00017,2023-06-26 19:16:00,2023-06-30 02:16:00,360,1.28,43.04,Overnight,F102,C10-G3,105,0,238,89,13,2.266666667,12,0,26,1,0,226,1.11,4,6,Fall,0.99,PC2,Region3,USPS,2023-07-04 02:16:00,4,5,Based on backlog and throughput,0.74,0.84,0.93,0.79,0.86,0.97,0.91,93
PO00018,L00018,2023-01-23 23:29:00,2023-01-24 07:29:00,152,1.1,40.09,Standard,F113,C3-G2,456,1,293,194,33,0.6425438596,7,0,23,0,1,121,1.09,7,1,Spring,0.98,PC9,Region4,FedEx,2023-01-31 07:29:00,7,9,Based on backlog and throughput,0.94,0.91,0.98,0.71,0.84,0.92,0.86,77
PO00019,L00019,2023-10-02 03:59:00,2023-10-05 13:59:00,131,1.33,9.64,Standard,F151,C8-G2,409,1,3357,3219,5,8.207823961,5,0,2,1,1,43,1,12,10,Spring,0.98,PC1,Region4,FedEx,2023-10-17 13:59:00,12,13,Based on backlog and throughput,0.97,0.81,0.99,0.89,0.87,1,0.81,90
PO00020,L00020,2023-07-13 02:35:00,2023-07-15 13:35:00,150,1.45,15.12,Standard,F152,C4-G2,444,1,3335,3278,90,7.511261261,5,3,13,1,1,450,0.82,11,7,Summer,0.9,PC2,Region5,UPS,2023-07-26 13:35:00,11,12,Based on backlog and throughput,0.93,0.94,0.94,0.82,0.94,0.95,0.83,85
PO00021,L00021,2023-05-31 20:39:00,2023-06-01 02:39:00,309,1.12,39.77,Standard,F104,C5-G2,159,1,1042,869,77,6.553459119,8,2,31,1,0,195,1.03,13,5,Summer,0.92,PC8,Region2,DHL,2023-06-14 02:39:00,13,15,Based on backlog and throughput,0.76,0.93,0.9,0.85,0.82,0.94,0.9,73
PO00022,L00022,2023-07-05 18:12:00,2023-07-07 18:12:00,258,4.4,9.67,Standard,F171,C4-G2,241,1,4720,4692,27,19.58506224,3,2,5,1,1,357,0.82,14,7,Spring,0.98,PC3,Region3,DHL,2023-07-21 18:12:00,14,16,Based on backlog and throughput,0.82,0.87,0.97,0.84,0.86,0.99,0.88,75
PO00023,L00023,2023-12-27 02:02:00,2023-12-28 11:02:00,344,3.81,45.93,2-day,F170,C4-G5,441,1,3979,3817,78,9.022675737,10,2,27,1,1,203,1.04,5,12,Winter,0.98,PC3,Region3,UPS,2024-01-02 11:02:00,5,6,Based on backlog and throughput,0.87,0.97,1,0.83,0.94,0.95,0.92,95
PO00024,L00024,2023-12-05 07:49:00,2023-12-05 07:49:00,492,0.33,21.51,2-day,F100,C6-G2,142,1,3213,3071,24,22.62676056,10,1,5,1,0,466,1.12,6,12,Winter,0.96,PC7,Region5,USPS,2023-12-11 07:49:00,6,7,Based on backlog and throughput,0.75,0.9,0.99,0.7,0.85,0.97,0.95,90
PO00025,L00025,2023-05-29 02:54:00,2023-06-01 07:54:00,414,1.42,4.81,Standard,F111,C2-G1,399,1,3062,3003,67,7.674185464,4,0,29,0,1,457,1.03,14,5,Fall,0.91,PC1,Region1,DHL,2023-06-15 07:54:00,14,16,Based on backlog and throughput,0.76,0.92,0.95,0.81,0.92,0.98,0.91,77
PO00026,L00026,2023-04-30 03:24:00,2023-04-30 11:24:00,294,0.21,40.88,2-day,F177,C2-G4,105,1,4936,4842,63,47.00952381,8,6,30,1,0,317,1.2,7,4,Summer,0.93,PC2,Region2,DHL,2023-05-07 11:24:00,7,9,Based on backlog and throughput,0.78,0.84,0.98,0.86,0.86,0.92,0.89,78
PO00027,L00027,2023-05-23 14:40:00,2023-05-23 15:40:00,386,2.54,18.99,Standard,F179,C10-G1,109,1,1053,1012,94,9.660550459,0,1,23,1,0,256,0.98,13,5,Spring,0.96,PC7,Region1,USPS,2023-06-05 15:40:00,13,15,Based on backlog and throughput,0.85,0.88,0.98,0.71,0.92,0.92,0.87,82
PO00028,L00028,2023-07-06 05:23:00,2023-07-09 05:23:00,192,2.43,26.56,Overnight,F181,C9-G1,187,1,1402,1360,99,7.497326203,3,3,6,1,0,16,1.1,10,7,Fall,0.89,PC5,Region3,USPS,2023-07-19 05:23:00,10,12,Based on backlog and throughput,0.85,0.96,0.96,0.89,0.95,0.91,0.81,86
PO00029,L00029,2023-07-01 06:42:00,2023-07-03 12:42:00,444,4.17,6.06,2-day,F138,C8-G3,88,1,3481,3408,48,39.55681818,6,5,1,1,1,271,1.07,12,7,Winter,0.94,PC6,Region4,UPS,2023-07-15 12:42:00,12,13,Based on backlog and throughput,0.94,0.84,0.91,0.78,0.86,0.99,0.81,78
PO00030,L00030,2023-05-17 22:59:00,2023-05-19 10:59:00,277,1.61,0.63,Standard,F165,C10-G3,77,1,2980,2804,63,38.7012987,10,2,17,1,1,8,1.2,7,5,Fall,0.97,PC10,Region5,UPS,2023-05-26 10:59:00,7,8,Based on backlog and throughput,0.92,0.87,0.95,0.76,0.93,0.92,0.94,82
PO00031,L00031,2023-12-16 20:04:00,2023-12-18 08:04:00,161,4.1,32.08,Standard,F171,C8-G5,98,1,2287,2096,78,23.33673469,14,5,16,1,1,248,1.09,7,12,Fall,0.95,PC8,Region3,UPS,2023-12-25 08:04:00,7,8,Based on backlog and throughput,0.96,0.86,0.93,0.81,0.95,0.93,0.86,78
PO00032,L00032,2023-11-08 20:10:00,2023-11-12 01:10:00,460,4.84,26,Standard,F126,C5-G4,469,1,4987,4828,12,10.63326226,8,2,8,0,0,436,0.87,7,11,Spring,0.92,PC8,Region2,DHL,2023-11-19 01:10:00,7,9,Based on backlog and throughput,0.94,0.83,0.96,0.86,0.95,0.93,0.94,75
PO00033,L00033,2023-10-01 23:15:00,2023-10-05 06:15:00,314,0.53,29.88,Standard,F183,C3-G5,174,1,645,582,28,3.706896552,14,6,1,1,1,200,1.18,11,10,Fall,0.93,PC10,Region5,UPS,2023-10-16 06:15:00,11,13,Based on backlog and throughput,0.77,0.86,0.99,0.79,0.87,0.93,0.85,96
PO00034,L00034,2023-03-25 14:24:00,2023-03-28 20:24:00,22,3.98,39.79,Overnight,F185,C5-G4,62,1,2027,2026,44,32.69354839,13,5,25,1,0,58,1.07,13,3,Spring,0.99,PC5,Region1,DHL,2023-04-10 20:24:00,13,14,Based on backlog and throughput,0.8,0.84,0.98,0.83,0.87,0.97,0.93,79
PO00035,L00035,2023-05-19 20:44:00,2023-05-20 06:44:00,253,2.99,32.51,2-day,F158,C4-G5,85,1,4252,4101,93,50.02352941,12,4,19,1,1,374,0.82,13,5,Summer,0.93,PC6,Region4,FedEx,2023-06-02 06:44:00,13,15,Based on backlog and throughput,0.85,0.98,0.94,0.8,0.85,1,0.81,74
PO00036,L00036,2023-10-13 07:43:00,2023-10-14 17:43:00,236,2.45,9.15,Standard,F143,C3-G1,150,1,104,39,43,0.6933333333,10,4,13,1,1,392,1.06,7,10,Fall,0.96,PC3,Region5,USPS,2023-10-21 17:43:00,7,9,Based on backlog and throughput,0.7,0.94,0.95,0.83,0.85,0.93,0.82,76
PO00037,L00037,2023-06-16 01:14:00,2023-06-18 02:14:00,345,2.16,18.36,Standard,F146,C9-G4,331,0,3581,3416,17,10.81873112,11,4,16,1,0,139,1.15,3,6,Winter,0.95,PC4,Region5,USPS,2023-06-21 02:14:00,3,5,Based on backlog and throughput,0.96,0.86,0.95,0.73,0.87,0.94,0.95,80
PO00038,L00038,2023-01-17 10:25:00,2023-01-18 18:25:00,49,3.94,45.34,2-day,F106,C8-G5,135,1,3353,3323,40,24.83703704,12,1,17,0,1,118,1.03,12,1,Winter,0.95,PC3,Region3,FedEx,2023-01-30 18:25:00,12,14,Based on backlog and throughput,0.71,0.95,1,0.71,0.83,0.98,0.83,93
PO00039,L00039,2023-05-18 02:13:00,2023-05-21 10:13:00,475,3.23,38.61,Standard,F128,C1-G5,53,1,1462,1348,49,27.58490566,9,3,18,1,1,40,0.94,3,5,Fall,0.95,PC2,Region4,UPS,2023-05-24 10:13:00,3,5,Based on backlog and throughput,0.79,0.8,0.89,0.73,0.91,0.94,0.85,78
PO00040,L00040,2023-10-18 22:20:00,2023-10-20 09:20:00,59,4.04,28.05,2-day,F158,C6-G4,272,1,1920,1895,85,7.058823529,5,2,18,0,1,398,1.13,7,10,Summer,0.91,PC10,Region4,DHL,2023-10-27 09:20:00,7,9,Based on backlog and throughput,0.87,0.9,0.95,0.76,0.88,0.99,0.88,94
PO00041,L00041,2023-04-19 20:31:00,2023-04-20 20:31:00,170,4.53,13.15,Standard,F142,C3-G4,387,1,2763,2735,57,7.139534884,11,2,19,1,1,321,1.11,14,4,Winter,0.92,PC5,Region4,DHL,2023-05-04 20:31:00,14,15,Based on backlog and throughput,0.85,0.85,0.99,0.75,0.93,0.95,0.86,79
PO00042,L00042,2023-07-22 20:29:00,2023-07-23 00:29:00,476,3.12,15.45,2-day,F171,C2-G5,497,0,3038,2844,87,6.112676056,7,5,22,1,1,330,1.02,2,7,Summer,0.92,PC2,Region4,DHL,2023-07-25 00:29:00,2,3,Based on backlog and throughput,0.89,0.82,0.98,0.82,0.92,0.93,0.85,80
PO00043,L00043,2023-03-15 08:08:00,2023-03-18 18:08:00,188,4.9,36.73,Standard,F198,C8-G3,215,1,1373,1296,84,6.386046512,12,2,15,1,1,266,0.86,14,3,Fall,0.85,PC7,Region4,USPS,2023-04-01 18:08:00,14,15,Based on backlog and throughput,0.85,0.97,0.95,0.79,0.85,1,0.82,72
PO00044,L00044,2023-05-07 23:35:00,2023-05-11 07:35:00,464,3.08,42.63,Standard,F179,C1-G1,432,1,3426,3402,64,7.930555556,8,6,7,1,1,7,0.9,2,5,Summer,0.88,PC9,Region3,UPS,2023-05-13 07:35:00,2,3,Based on backlog and throughput,0.77,0.84,0.9,0.71,0.88,0.94,0.83,98
PO00045,L00045,2023-10-03 08:47:00,2023-10-06 11:47:00,271,3.22,33.74,2-day,F176,C4-G4,393,1,3759,3712,75,9.564885496,9,1,3,0,0,182,1.1,3,10,Spring,0.87,PC1,Region4,DHL,2023-10-09 11:47:00,3,5,Based on backlog and throughput,0.76,0.96,0.93,0.71,0.91,0.92,0.86,77
PO00046,L00046,2023-10-27 13:57:00,2023-10-28 20:57:00,190,2.82,40.57,Standard,F160,C10-G1,432,1,3045,2981,57,7.048611111,3,4,27,1,1,479,1.12,14,10,Winter,0.97,PC1,Region3,DHL,2023-11-11 20:57:00,14,15,Based on backlog and throughput,0.96,0.88,0.91,0.72,0.83,0.92,0.83,86
PO00047,L00047,2023-10-26 12:23:00,2023-10-28 14:23:00,446,0.55,38.45,Standard,F191,C6-G3,425,1,3118,2938,98,7.336470588,0,3,26,1,1,133,0.91,4,10,Summer,0.89,PC7,Region3,DHL,2023-11-01 14:23:00,4,5,Based on backlog and throughput,0.78,0.8,1,0.77,0.8,1,0.8,76
PO00048,L00048,2023-04-23 04:32:00,2023-04-25 07:32:00,175,3.66,7.91,2-day,F184,C10-G3,327,1,1231,1165,74,3.764525994,13,6,23,1,0,180,0.95,6,4,Winter,0.87,PC2,Region4,FedEx,2023-05-01 07:32:00,6,7,Based on backlog and throughput,0.78,0.94,0.98,0.7,0.93,0.98,0.9,81
PO00049,L00049,2023-09-10 02:48:00,2023-09-10 02:48:00,446,2.78,21.49,2-day,F146,C3-G5,179,1,4863,4774,74,27.16759777,7,6,10,1,0,403,0.83,13,9,Summer,0.87,PC1,Region1,DHL,2023-09-23 02:48:00,13,14,Based on backlog and throughput,0.82,0.91,0.92,0.8,0.82,0.94,0.93,85
PO00050,L00050,2023-01-25 03:09:00,2023-01-28 12:09:00,51,2.31,8.07,2-day,F191,C5-G2,80,1,2736,2591,70,34.2,1,2,25,1,1,422,1.09,8,1,Winter,0.95,PC3,Region2,FedEx,2023-02-05 12:09:00,8,10,Based on backlog and throughput,0.74,0.87,1,0.77,0.93,0.98,0.84,84
PO00051,L00051,2023-11-18 05:50:00,2023-11-18 08:50:00,364,4.56,12.14,Overnight,F157,C5-G4,424,1,3129,2993,88,7.379716981,10,5,18,1,1,354,0.8,10,11,Winter,0.85,PC8,Region4,DHL,2023-11-28 08:50:00,10,12,Based on backlog and throughput,0.85,0.85,0.95,0.81,0.94,0.95,0.8,90
PO00052,L00052,2023-12-15 13:38:00,2023-12-16 14:38:00,55,1.56,43.53,Standard,F114,C10-G3,60,1,3119,3082,76,51.98333333,0,4,15,0,1,71,0.82,10,12,Fall,0.92,PC8,Region2,DHL,2023-12-26 14:38:00,10,11,Based on backlog and throughput,0.89,0.81,0.95,0.84,0.87,0.93,0.93,98
PO00053,L00053,2023-02-02 12:24:00,2023-02-02 21:24:00,244,2.67,23.91,Standard,F112,C6-G2,351,1,4477,4391,43,12.75498575,12,3,2,1,0,497,0.8,7,2,Summer,0.87,PC7,Region3,DHL,2023-02-09 21:24:00,7,8,Based on backlog and throughput,0.93,0.98,0.98,0.75,0.92,0.97,0.89,82
PO00054,L00054,2023-11-02 14:33:00,2023-11-02 21:33:00,320,3.52,27,Standard,F197,C8-G4,145,1,3259,3111,23,22.47586207,6,3,2,0,1,112,1.06,4,11,Fall,0.97,PC10,Region1,FedEx,2023-11-06 21:33:00,4,6,Based on backlog and throughput,0.91,0.89,1,0.73,0.85,0.97,0.94,87
PO00055,L00055,2023-05-09 17:55:00,2023-05-09 20:55:00,131,4,9.33,2-day,F184,C4-G4,239,1,353,289,27,1.476987448,11,1,9,1,0,106,0.97,2,5,Winter,0.98,PC8,Region3,DHL,2023-05-11 20:55:00,2,4,Based on backlog and throughput,0.74,0.82,1,0.76,0.93,0.95,0.83,87
PO00056,L00056,2023-01-06 21:46:00,2023-01-07 03:46:00,485,2.35,15.96,Overnight,F128,C6-G3,241,1,428,280,58,1.77593361,9,4,6,1,1,289,0.92,2,1,Summer,0.98,PC5,Region1,UPS,2023-01-09 03:46:00,2,3,Based on backlog and throughput,0.83,0.97,0.99,0.7,0.92,0.9,0.81,93
PO00057,L00057,2023-02-28 21:56:00,2023-03-04 00:56:00,307,4.23,11.9,2-day,F100,C7-G3,315,1,2691,2665,37,8.542857143,8,1,28,0,1,312,1.17,4,2,Summer,0.91,PC10,Region3,DHL,2023-03-08 00:56:00,4,6,Based on backlog and throughput,0.71,0.85,0.88,0.72,0.81,0.91,0.88,74
PO00058,L00058,2023-10-02 08:49:00,2023-10-03 20:49:00,135,3.87,10.71,Standard,F143,C8-G2,473,0,2930,2825,6,6.194503171,10,0,2,0,0,116,0.88,6,10,Spring,0.94,PC10,Region5,FedEx,2023-10-09 20:49:00,6,8,Based on backlog and throughput,0.71,0.84,0.93,0.85,0.89,0.98,0.89,83
PO00059,L00059,2023-11-25 10:07:00,2023-11-25 12:07:00,21,0.42,32.08,Standard,F145,C10-G2,177,1,3144,3022,65,17.76271186,14,5,25,1,1,119,0.96,3,11,Winter,0.93,PC6,Region5,FedEx,2023-11-28 12:07:00,3,4,Based on backlog and throughput,0.83,0.85,0.97,0.74,0.9,0.98,0.81,97
PO00060,L00060,2023-05-31 13:10:00,2023-06-02 16:10:00,329,0.32,13.22,2-day,F181,C10-G2,287,1,1520,1323,6,5.296167247,11,2,31,1,1,146,1.18,6,5,Spring,0.9,PC7,Region5,UPS,2023-06-08 16:10:00,6,8,Based on backlog and throughput,0.77,0.91,0.98,0.9,0.8,0.97,0.93,80
PO00061,L00061,2023-08-21 00:46:00,2023-08-23 09:46:00,167,3.14,31.78,Standard,F137,C2-G3,457,1,3501,3458,50,7.66083151,11,0,21,0,1,326,0.97,5,8,Spring,0.91,PC5,Region1,USPS,2023-08-28 09:46:00,5,6,Based on backlog and throughput,0.9,0.81,1,0.73,0.95,0.98,0.82,72
PO00062,L00062,2023-05-15 16:48:00,2023-05-17 19:48:00,274,1.8,3.39,Standard,F170,C4-G5,404,0,2992,2893,22,7.405940594,8,0,15,0,1,414,1.02,5,5,Summer,0.86,PC2,Region3,UPS,2023-05-22 19:48:00,5,6,Based on backlog and throughput,0.91,0.89,0.95,0.86,0.86,0.97,0.89,86
PO00063,L00063,2023-04-02 16:58:00,2023-04-04 18:58:00,388,1.12,7.52,Standard,F166,C7-G4,477,1,754,727,88,1.580712788,2,6,2,1,1,209,0.83,2,4,Spring,0.96,PC3,Region2,UPS,2023-04-06 18:58:00,2,4,Based on backlog and throughput,0.96,0.97,0.91,0.84,0.88,0.99,0.87,96
PO00064,L00064,2023-02-24 20:19:00,2023-02-26 02:19:00,89,2.94,14.09,Standard,F147,C4-G2,161,1,859,687,25,5.335403727,5,4,24,1,1,295,1.12,8,2,Winter,0.88,PC3,Region1,FedEx,2023-03-06 02:19:00,8,10,Based on backlog and throughput,0.92,0.84,0.95,0.76,0.83,0.92,0.87,92
PO00065,L00065,2023-11-24 16:38:00,2023-11-26 20:38:00,316,1.77,30.05,Standard,F189,C3-G4,365,1,1898,1882,79,5.2,6,4,24,1,0,397,0.97,5,11,Fall,0.91,PC1,Region1,DHL,2023-12-01 20:38:00,5,7,Based on backlog and throughput,0.71,0.86,0.99,0.77,0.89,0.94,0.86,96
PO00066,L00066,2023-04-12 04:23:00,2023-04-12 12:23:00,14,2.73,33.95,Standard,F113,C1-G2,495,1,3071,2945,90,6.204040404,13,2,12,0,0,102,1.12,11,4,Spring,0.92,PC4,Region1,DHL,2023-04-23 12:23:00,11,13,Based on backlog and throughput,0.81,0.88,0.93,0.81,0.92,0.95,0.81,81
PO00067,L00067,2023-03-24 17:49:00,2023-03-26 03:49:00,242,2.35,22.41,Standard,F105,C7-G4,392,1,4611,4489,72,11.7627551,9,4,24,1,0,123,0.9,2,3,Spring,0.93,PC2,Region3,USPS,2023-03-28 03:49:00,2,4,Based on backlog and throughput,0.78,0.91,0.93,0.87,0.89,0.93,0.81,72
PO00068,L00068,2023-09-29 00:38:00,2023-10-02 08:38:00,265,2.97,22.57,Standard,F121,C3-G5,194,1,3526,3359,51,18.17525773,8,4,29,0,1,244,0.97,7,9,Summer,0.96,PC1,Region1,USPS,2023-10-09 08:38:00,7,9,Based on backlog and throughput,0.81,0.97,0.94,0.78,0.92,0.97,0.83,92
PO00069,L00069,2023-06-15 15:01:00,2023-06-18 15:01:00,346,2.06,36.36,2-day,F163,C9-G3,114,1,354,224,88,3.105263158,14,3,15,0,1,378,1.11,13,6,Summer,0.95,PC4,Region5,USPS,2023-07-01 15:01:00,13,14,Based on backlog and throughput,0.75,0.87,0.89,0.71,0.91,0.99,0.92,97
PO00070,L00070,2023-02-27 11:56:00,2023-03-01 21:56:00,53,3.52,1.28,2-day,F117,C8-G3,296,1,3923,3848,48,13.25337838,1,0,27,1,1,355,1.19,9,2,Summer,0.94,PC1,Region2,USPS,2023-03-10 21:56:00,9,11,Based on backlog and throughput,0.73,0.81,0.95,0.77,0.84,0.94,0.9,71
PO00071,L00071,2023-06-07 07:03:00,2023-06-10 19:03:00,386,0.98,17.38,2-day,F191,C5-G5,272,1,1976,1783,70,7.264705882,7,2,7,1,1,208,0.82,9,6,Fall,0.92,PC4,Region3,UPS,2023-06-19 19:03:00,9,10,Based on backlog and throughput,0.85,0.87,0.95,0.74,0.87,0.99,0.88,73
PO00072,L00072,2023-05-04 18:05:00,2023-05-07 05:05:00,340,3.51,41.03,Standard,F195,C10-G1,362,1,2857,2812,99,7.892265193,13,3,4,1,1,420,1.12,1,5,Summer,0.86,PC8,Region2,UPS,2023-05-08 05:05:00,1,3,Based on backlog and throughput,0.91,0.84,1,0.89,0.82,0.95,0.81,87
PO00073,L00073,2023-02-13 23:31:00,2023-02-17 05:31:00,92,2.12,30.36,2-day,F192,C7-G1,488,1,2724,2567,65,5.581967213,6,0,13,1,1,427,0.92,7,2,Winter,0.91,PC3,Region3,DHL,2023-02-24 05:31:00,7,9,Based on backlog and throughput,0.9,0.92,0.91,0.84,0.81,0.95,0.87,89
PO00074,L00074,2023-02-05 17:49:00,2023-02-06 21:49:00,367,4.38,17.19,Standard,F152,C3-G1,155,1,4221,4153,60,27.23225806,3,6,5,1,1,392,1.02,9,2,Winter,0.98,PC4,Region3,UPS,2023-02-15 21:49:00,9,11,Based on backlog and throughput,0.83,0.81,0.95,0.71,0.81,0.96,0.8,90
PO00075,L00075,2023-03-06 04:42:00,2023-03-09 06:42:00,444,2.62,45.32,Standard,F113,C4-G3,230,1,3104,2968,46,13.49565217,1,0,6,1,1,313,0.92,6,3,Summer,0.99,PC7,Region3,DHL,2023-03-15 06:42:00,6,8,Based on backlog and throughput,0.85,0.86,0.9,0.76,0.94,0.93,0.8,83
